ANNEE,C_REGION,L_REGION,C_DEPT,N_DEPT,C_TYP_REG_DECHET,L_TYP_REG_DECHET,TONNAGE_T
2009,84,Auvergne-Rhône-Alpes,42,Loire,02F,DEEE,"3271,76"
2009,84,Auvergne-Rhône-Alpes,42,Loire,02E,Déblais et gravats,"38898,95"
2009,84,Auvergne-Rhône-Alpes,42,Loire,02Z,Autres déchets,"9,77"
2009,84,Auvergne-Rhône-Alpes,43,Haute-Loire,02A,Déchets dangereux,"246,86"
2009,84,Auvergne-Rhône-Alpes,43,Haute-Loire,02B,Matériaux recyclables,"6542,42"
2009,84,Auvergne-Rhône-Alpes,43,Haute-Loire,02C,Déchets verts,"7244,67"
2009,84,Auvergne-Rhône-Alpes,43,Haute-Loire,02D,Encombrants,"6759,29"
2009,84,Auvergne-Rhône-Alpes,43,Haute-Loire,02F,DEEE,"680,73"
2009,84,Auvergne-Rhône-Alpes,43,Haute-Loire,02E,Déblais et gravats,"7596,29"
2009,84,Auvergne-Rhône-Alpes,43,Haute-Loire,02Z,Autres déchets,"0,60"
2009,84,Auvergne-Rhône-Alpes,63,Puy-de-Dôme,02A,Déchets dangereux,"5290,91"
2009,84,Auvergne-Rhône-Alpes,63,Puy-de-Dôme,02B,Matériaux recyclables,"19569,57"
2009,84,Auvergne-Rhône-Alpes,63,Puy-de-Dôme,02C,Déchets verts,"50566,30"
2009,84,Auvergne-Rhône-Alpes,63,Puy-de-Dôme,02D,Encombrants,"30350,66"
2009,84,Auvergne-Rhône-Alpes,63,Puy-de-Dôme,02F,DEEE,"3167,66"
2009,84,Auvergne-Rhône-Alpes,63,Puy-de-Dôme,02E,Déblais et gravats,"27914,63"
2009,84,Auvergne-Rhône-Alpes,63,Puy-de-Dôme,02Z,Autres déchets,"7124,40"
2009,84,Auvergne-Rhône-Alpes,69,Rhône,02A,Déchets dangereux,"1823,16"
2009,84,Auvergne-Rhône-Alpes,69,Rhône,02B,Matériaux recyclables,"47582,36"
2009,84,Auvergne-Rhône-Alpes,69,Rhône,02C,Déchets verts,"56042,17"
2009,84,Auvergne-Rhône-Alpes,69,Rhône,02D,Encombrants,"50870,51"
2009,84,Auvergne-Rhône-Alpes,69,Rhône,02F,DEEE,"7398,02"
2009,84,Auvergne-Rhône-Alpes,69,Rhône,02E,Déblais et gravats,"51122,17"
2009,84,Auvergne-Rhône-Alpes,69,Rhône,02Z,Autres déchets,"1,76"
2009,84,Auvergne-Rhône-Alpes,73,Savoie,02A,Déchets dangereux,"1039,92"
2009,84,Auvergne-Rhône-Alpes,73,Savoie,02B,Matériaux recyclables,"28165,26"
2009,84,Auvergne-Rhône-Alpes,73,Savoie,02C,Déchets verts,"33174,86"
2009,84,Auvergne-Rhône-Alpes,73,Savoie,02D,Encombrants,"23468,98"
2009,84,Auvergne-Rhône-Alpes,73,Savoie,02F,DEEE,"3889,96"
2009,84,Auvergne-Rhône-Alpes,73,Savoie,02E,Déblais et gravats,"33215,70"
2009,84,Auvergne-Rhône-Alpes,73,Savoie,02Z,Autres déchets,"40,58"
2009,84,Auvergne-Rhône-Alpes,74,Haute-Savoie,02A,Déchets dangereux,"1061,99"
2009,84,Auvergne-Rhône-Alpes,74,Haute-Savoie,02B,Matériaux recyclables,"44318,49"
2009,84,Auvergne-Rhône-Alpes,74,Haute-Savoie,02C,Déchets verts,"54386,00"
2009,84,Auvergne-Rhône-Alpes,74,Haute-Savoie,02D,Encombrants,"38950,65"
2009,84,Auvergne-Rhône-Alpes,74,Haute-Savoie,02F,DEEE,"2580,20"
2009,84,Auvergne-Rhône-Alpes,74,Haute-Savoie,02E,Déblais et gravats,"37543,62"
2009,84,Auvergne-Rhône-Alpes,74,Haute-Savoie,02Z,Autres déchets,"91,31"
2009,27,Bourgogne-Franche-Comté,21,Cote-d'Or,02A,Déchets dangereux,"1160,66"
2009,27,Bourgogne-Franche-Comté,21,Cote-d'Or,02B,Matériaux recyclables,"14598,19"
2009,27,Bourgogne-Franche-Comté,21,Cote-d'Or,02C,Déchets verts,"37623,39"
2009,27,Bourgogne-Franche-Comté,21,Cote-d'Or,02D,Encombrants,"24755,55"
2009,27,Bourgogne-Franche-Comté,21,Cote-d'Or,02F,DEEE,"2783,95"
2009,27,Bourgogne-Franche-Comté,21,Cote-d'Or,02E,Déblais et gravats,"33658,29"
2009,27,Bourgogne-Franche-Comté,21,Cote-d'Or,02Z,Autres déchets,"119,99"
2009,27,Bourgogne-Franche-Comté,25,Doubs,02A,Déchets dangereux,"5042,86"
2009,27,Bourgogne-Franche-Comté,25,Doubs,02B,Matériaux recyclables,"20540,53"
2009,27,Bourgogne-Franche-Comté,25,Doubs,02C,Déchets verts,"28646,43"
2009,27,Bourgogne-Franche-Comté,25,Doubs,02D,Encombrants,"26935,19"
2009,27,Bourgogne-Franche-Comté,25,Doubs,02F,DEEE,"2569,22"
2009,27,Bourgogne-Franche-Comté,25,Doubs,02E,Déblais et gravats,"16417,75"
2009,27,Bourgogne-Franche-Comté,25,Doubs,02Z,Autres déchets,"180,95"
2009,27,Bourgogne-Franche-Comté,39,Jura,02A,Déchets dangereux,"415,43"
2009,27,Bourgogne-Franche-Comté,39,Jura,02B,Matériaux recyclables,"12462,26"
2009,27,Bourgogne-Franche-Comté,39,Jura,02C,Déchets verts,"10564,60"
2009,27,Bourgogne-Franche-Comté,39,Jura,02D,Encombrants,"12633,35"
2009,27,Bourgogne-Franche-Comté,39,Jura,02F,DEEE,"1927,56"
2009,27,Bourgogne-Franche-Comté,39,Jura,02E,Déblais et gravats,"7533,36"
2009,27,Bourgogne-Franche-Comté,39,Jura,02Z,Autres déchets,"740,20"
2009,27,Bourgogne-Franche-Comté,58,Nièvre,02A,Déchets dangereux,"480,89"
2009,27,Bourgogne-Franche-Comté,58,Nièvre,02B,Matériaux recyclables,"8683,69"
2009,27,Bourgogne-Franche-Comté,58,Nièvre,02C,Déchets verts,"15450,32"
2009,27,Bourgogne-Franche-Comté,58,Nièvre,02D,Encombrants,"7809,99"
2009,27,Bourgogne-Franche-Comté,58,Nièvre,02F,DEEE,"1758,14"
2009,27,Bourgogne-Franche-Comté,58,Nièvre,02E,Déblais et gravats,"10492,83"
2009,27,Bourgogne-Franche-Comté,58,Nièvre,02Z,Autres déchets,"4074,51"
2009,27,Bourgogne-Franche-Comté,70,Haute-Saône,02A,Déchets dangereux,"596,41"
2009,27,Bourgogne-Franche-Comté,70,Haute-Saône,02B,Matériaux recyclables,"14167,83"
2009,27,Bourgogne-Franche-Comté,70,Haute-Saône,02C,Déchets verts,"13598,10"
2009,27,Bourgogne-Franche-Comté,70,Haute-Saône,02D,Encombrants,"14875,08"
2009,27,Bourgogne-Franche-Comté,70,Haute-Saône,02F,DEEE,"1882,00"
2009,27,Bourgogne-Franche-Comté,70,Haute-Saône,02E,Déblais et gravats,"13490,19"
2009,27,Bourgogne-Franche-Comté,70,Haute-Saône,02Z,Autres déchets,"44,12"
2009,27,Bourgogne-Franche-Comté,71,Saône-et-Loire,02A,Déchets dangereux,"1385,32"
2009,27,Bourgogne-Franche-Comté,71,Saône-et-Loire,02B,Matériaux recyclables,"25733,39"
2009,27,Bourgogne-Franche-Comté,71,Saône-et-Loire,02C,Déchets verts,"45640,60"
2009,27,Bourgogne-Franche-Comté,71,Saône-et-Loire,02D,Encombrants,"7896,61"
2009,27,Bourgogne-Franche-Comté,71,Saône-et-Loire,02F,DEEE,"3273,17"
2009,27,Bourgogne-Franche-Comté,71,Saône-et-Loire,02E,Déblais et gravats,"25370,11"
2009,27,Bourgogne-Franche-Comté,71,Saône-et-Loire,02Z,Autres déchets,"26528,40"
2009,27,Bourgogne-Franche-Comté,89,Yonne,02A,Déchets dangereux,"671,50"
2009,27,Bourgogne-Franche-Comté,89,Yonne,02B,Matériaux recyclables,"7554,66"
2009,27,Bourgogne-Franche-Comté,89,Yonne,02C,Déchets verts,"15902,74"
2009,27,Bourgogne-Franche-Comté,89,Yonne,02D,Encombrants,"16619,33"
2009,27,Bourgogne-Franche-Comté,89,Yonne,02F,DEEE,"2347,74"
2009,27,Bourgogne-Franche-Comté,89,Yonne,02E,Déblais et gravats,"17758,64"
2009,27,Bourgogne-Franche-Comté,89,Yonne,02Z,Autres déchets,"16,58"
2009,27,Bourgogne-Franche-Comté,90,Territoire-de-Belfort,02A,Déchets dangereux,"131,37"
2009,27,Bourgogne-Franche-Comté,90,Territoire-de-Belfort,02B,Matériaux recyclables,"1923,18"
2009,27,Bourgogne-Franche-Comté,90,Territoire-de-Belfort,02C,Déchets verts,"3510,11"
2009,27,Bourgogne-Franche-Comté,90,Territoire-de-Belfort,02D,Encombrants,"2983,30"
2009,27,Bourgogne-Franche-Comté,90,Territoire-de-Belfort,02F,DEEE,"313,96"
2009,27,Bourgogne-Franche-Comté,90,Territoire-de-Belfort,02E,Déblais et gravats,"2215,58"
2009,27,Bourgogne-Franche-Comté,90,Territoire-de-Belfort,02Z,Autres déchets,"4,86"
2009,53,Bretagne,22,Cotes-d'Armor,02A,Déchets dangereux,"4155,72"
2009,53,Bretagne,22,Cotes-d'Armor,02B,Matériaux recyclables,"25294,50"
2009,53,Bretagne,22,Cotes-d'Armor,02C,Déchets verts,"87203,54"
2009,53,Bretagne,22,Cotes-d'Armor,02D,Encombrants,"32040,00"
2009,53,Bretagne,22,Cotes-d'Armor,02G,Mobilier,"27,00"
2009,53,Bretagne,22,Cotes-d'Armor,02F,DEEE,"3504,12"
2009,53,Bretagne,22,Cotes-d'Armor,02E,Déblais et gravats,"36002,74"
2009,53,Bretagne,22,Cotes-d'Armor,02Z,Autres déchets,"36,25"
2009,53,Bretagne,29,Finistère,02A,Déchets dangereux,"1743,40"
2009,53,Bretagne,29,Finistère,02B,Matériaux recyclables,"28078,37"
2009,53,Bretagne,29,Finistère,02C,Déchets verts,"156593,00"
2009,53,Bretagne,29,Finistère,02D,Encombrants,"64350,61"
2009,53,Bretagne,29,Finistère,02F,DEEE,"3291,31"
2009,53,Bretagne,29,Finistère,02E,Déblais et gravats,"78275,50"
2009,53,Bretagne,29,Finistère,02Z,Autres déchets,"1178,50"
2009,53,Bretagne,35,Ille-et-Vilaine,02A,Déchets dangereux,"2001,08"
2009,53,Bretagne,35,Ille-et-Vilaine,02B,Matériaux recyclables,"23504,78"
2009,53,Bretagne,35,Ille-et-Vilaine,02C,Déchets verts,"82909,65"
2009,53,Bretagne,35,Ille-et-Vilaine,02D,Encombrants,"48546,31"
2009,53,Bretagne,35,Ille-et-Vilaine,02F,DEEE,"11906,27"
2009,53,Bretagne,35,Ille-et-Vilaine,02E,Déblais et gravats,"56832,59"
2009,53,Bretagne,35,Ille-et-Vilaine,02Z,Autres déchets,"383,62"
2009,53,Bretagne,56,Morbihan,02A,Déchets dangereux,"705,04"
2009,53,Bretagne,56,Morbihan,02B,Matériaux recyclables,"26220,31"
2009,53,Bretagne,56,Morbihan,02C,Déchets verts,"84789,38"
2009,53,Bretagne,56,Morbihan,02D,Encombrants,"41601,89"
2009,53,Bretagne,56,Morbihan,02F,DEEE,"1390,37"
2009,53,Bretagne,56,Morbihan,02E,Déblais et gravats,"51870,08"
2009,53,Bretagne,56,Morbihan,02Z,Autres déchets,"17,41"
2009,24,Centre-Val de Loire,18,Cher,02A,Déchets dangereux,"404,70"
2009,24,Centre-Val de Loire,18,Cher,02B,Matériaux recyclables,"9165,25"
2009,24,Centre-Val de Loire,18,Cher,02C,Déchets verts,"21744,59"
2009,24,Centre-Val de Loire,18,Cher,02D,Encombrants,"16877,28"
2009,24,Centre-Val de Loire,18,Cher,02F,DEEE,"450,01"
2009,24,Centre-Val de Loire,18,Cher,02E,Déblais et gravats,"14969,84"
2009,24,Centre-Val de Loire,18,Cher,02Z,Autres déchets,"838,25"
2009,24,Centre-Val de Loire,28,Eure-et-Loir,02A,Déchets dangereux,"449,33"
2009,24,Centre-Val de Loire,28,Eure-et-Loir,02B,Matériaux recyclables,"9663,13"
2009,24,Centre-Val de Loire,28,Eure-et-Loir,02C,Déchets verts,"24165,85"
2009,24,Centre-Val de Loire,28,Eure-et-Loir,02D,Encombrants,"22130,36"
2009,24,Centre-Val de Loire,28,Eure-et-Loir,02F,DEEE,"1537,38"
2009,24,Centre-Val de Loire,28,Eure-et-Loir,02E,Déblais et gravats,"26828,46"
2009,24,Centre-Val de Loire,28,Eure-et-Loir,02Z,Autres déchets,"1651,44"
2009,24,Centre-Val de Loire,36,Indre,02A,Déchets dangereux,"234,75"
2009,24,Centre-Val de Loire,36,Indre,02B,Matériaux recyclables,"4900,86"
2009,24,Centre-Val de Loire,36,Indre,02C,Déchets verts,"14243,03"
2009,24,Centre-Val de Loire,36,Indre,02D,Encombrants,"13693,97"
2009,24,Centre-Val de Loire,36,Indre,02F,DEEE,"837,60"
2009,24,Centre-Val de Loire,36,Indre,02E,Déblais et gravats,"7642,40"
2009,24,Centre-Val de Loire,36,Indre,02Z,Autres déchets,"3,75"
2009,24,Centre-Val de Loire,37,Indre-et-Loire,02A,Déchets dangereux,"904,69"
2009,24,Centre-Val de Loire,37,Indre-et-Loire,02B,Matériaux recyclables,"13601,69"
2009,24,Centre-Val de Loire,37,Indre-et-Loire,02C,Déchets verts,"30563,85"
2009,24,Centre-Val de Loire,37,Indre-et-Loire,02D,Encombrants,"24846,02"
2009,24,Centre-Val de Loire,37,Indre-et-Loire,02F,DEEE,"1810,31"
2009,24,Centre-Val de Loire,37,Indre-et-Loire,02E,Déblais et gravats,"28848,46"
2009,24,Centre-Val de Loire,37,Indre-et-Loire,02Z,Autres déchets,"360,01"
2009,24,Centre-Val de Loire,41,Loir-et-Cher,02A,Déchets dangereux,"395,69"
2009,24,Centre-Val de Loire,41,Loir-et-Cher,02B,Matériaux recyclables,"8925,22"
2009,24,Centre-Val de Loire,41,Loir-et-Cher,02C,Déchets verts,"30830,11"
2009,24,Centre-Val de Loire,41,Loir-et-Cher,02D,Encombrants,"23618,92"
2009,24,Centre-Val de Loire,41,Loir-et-Cher,02F,DEEE,"431,49"
2009,24,Centre-Val de Loire,41,Loir-et-Cher,02E,Déblais et gravats,"19571,94"
2009,24,Centre-Val de Loire,41,Loir-et-Cher,02Z,Autres déchets,"5,97"
2009,24,Centre-Val de Loire,45,Loiret,02A,Déchets dangereux,"858,17"
2009,24,Centre-Val de Loire,45,Loiret,02B,Matériaux recyclables,"30156,99"
2009,24,Centre-Val de Loire,45,Loiret,02C,Déchets verts,"49964,34"
2009,24,Centre-Val de Loire,45,Loiret,02D,Encombrants,"35746,32"
2009,24,Centre-Val de Loire,45,Loiret,02F,DEEE,"2123,31"
2009,24,Centre-Val de Loire,45,Loiret,02E,Déblais et gravats,"35453,99"
2009,24,Centre-Val de Loire,45,Loiret,02Z,Autres déchets,"1581,19"
2009,94,Corse,2A,Corse-du-Sud,02A,Déchets dangereux,"33,97"
2009,94,Corse,2A,Corse-du-Sud,02B,Matériaux recyclables,"3865,38"
2009,94,Corse,2A,Corse-du-Sud,02C,Déchets verts,"1371,25"
2009,94,Corse,2A,Corse-du-Sud,02D,Encombrants,"3326,22"
2009,94,Corse,2A,Corse-du-Sud,02F,DEEE,"836,46"
2009,94,Corse,2A,Corse-du-Sud,02E,Déblais et gravats,"9227,89"
2009,94,Corse,2A,Corse-du-Sud,02Z,Autres déchets,"10,49"
2009,94,Corse,2B,Haute-Corse,02A,Déchets dangereux,"9,96"
2009,94,Corse,2B,Haute-Corse,02B,Matériaux recyclables,"5095,42"
2009,94,Corse,2B,Haute-Corse,02C,Déchets verts,"4083,34"
2009,94,Corse,2B,Haute-Corse,02D,Encombrants,"6659,00"
2009,94,Corse,2B,Haute-Corse,02F,DEEE,"195,60"
2009,94,Corse,2B,Haute-Corse,02E,Déblais et gravats,"7599,34"
2009,94,Corse,2B,Haute-Corse,02Z,Autres déchets,"1,73"
2009,97,DROM-COM,971,Guadeloupe,02A,Déchets dangereux,"58,26"
2009,97,DROM-COM,971,Guadeloupe,02B,Matériaux recyclables,"504,11"
2009,97,DROM-COM,971,Guadeloupe,02C,Déchets verts,"1008,45"
2009,97,DROM-COM,971,Guadeloupe,02D,Encombrants,"848,24"
2009,97,DROM-COM,971,Guadeloupe,02F,DEEE,"213,34"
2009,97,DROM-COM,971,Guadeloupe,02E,Déblais et gravats,"213,33"
2009,97,DROM-COM,971,Guadeloupe,02Z,Autres déchets,"1,00"
2009,97,DROM-COM,972,Martinique,02A,Déchets dangereux,"28,90"
2009,97,DROM-COM,972,Martinique,02B,Matériaux recyclables,"1529,10"
2009,97,DROM-COM,972,Martinique,02C,Déchets verts,"1311,10"
2009,97,DROM-COM,972,Martinique,02D,Encombrants,"2688,06"
2009,97,DROM-COM,972,Martinique,02F,DEEE,"228,40"
2009,97,DROM-COM,972,Martinique,02E,Déblais et gravats,"585,44"
2009,97,DROM-COM,972,Martinique,02Z,Autres déchets,"267,01"
2009,97,DROM-COM,973,Guyane,02A,Déchets dangereux,"8,11"
2009,97,DROM-COM,973,Guyane,02B,Matériaux recyclables,"396,99"
2009,97,DROM-COM,973,Guyane,02C,Déchets verts,"140,95"
2009,97,DROM-COM,973,Guyane,02D,Encombrants,"1112,64"
2009,97,DROM-COM,973,Guyane,02F,DEEE,"29,94"
2009,97,DROM-COM,973,Guyane,02E,Déblais et gravats,"251,16"
2009,97,DROM-COM,974,La Réunion,02A,Déchets dangereux,"1354,08"
2009,97,DROM-COM,974,La Réunion,02B,Matériaux recyclables,"5259,66"
2009,97,DROM-COM,974,La Réunion,02C,Déchets verts,"8737,51"
2009,97,DROM-COM,974,La Réunion,02D,Encombrants,"13303,89"
2009,97,DROM-COM,974,La Réunion,02F,DEEE,"409,75"
2009,97,DROM-COM,974,La Réunion,02E,Déblais et gravats,"5513,54"
2009,97,DROM-COM,977,Saint-Barthélemy,02A,Déchets dangereux,"134,90"
2009,97,DROM-COM,977,Saint-Barthélemy,02B,Matériaux recyclables,"2767,00"
2009,97,DROM-COM,977,Saint-Barthélemy,02C,Déchets verts,"955,00"
2009,97,DROM-COM,977,Saint-Barthélemy,02Z,Autres déchets,"127,00"
2009,44,Grand Est,08,Ardennes,02A,Déchets dangereux,"302,24"
2009,44,Grand Est,08,Ardennes,02B,Matériaux recyclables,"7030,80"
2009,44,Grand Est,08,Ardennes,02C,Déchets verts,"10178,17"
2009,44,Grand Est,08,Ardennes,02D,Encombrants,"14156,82"
2009,44,Grand Est,08,Ardennes,02F,DEEE,"1327,24"
2009,44,Grand Est,08,Ardennes,02E,Déblais et gravats,"9601,78"
2009,44,Grand Est,08,Ardennes,02Z,Autres déchets,"104,29"
2009,44,Grand Est,10,Aube,02A,Déchets dangereux,"615,60"
2009,44,Grand Est,10,Aube,02B,Matériaux recyclables,"4416,46"
2009,44,Grand Est,10,Aube,02C,Déchets verts,"12487,61"
2009,44,Grand Est,10,Aube,02D,Encombrants,"12837,42"
2009,44,Grand Est,10,Aube,02F,DEEE,"860,26"
2009,44,Grand Est,10,Aube,02E,Déblais et gravats,"12512,75"
2009,44,Grand Est,10,Aube,02Z,Autres déchets,"1570,65"
2009,44,Grand Est,51,Marne,02A,Déchets dangereux,"837,10"
2009,44,Grand Est,51,Marne,02B,Matériaux recyclables,"9098,86"
2009,44,Grand Est,51,Marne,02C,Déchets verts,"22887,92"
2009,44,Grand Est,51,Marne,02D,Encombrants,"35902,22"
2009,44,Grand Est,51,Marne,02F,DEEE,"1651,99"
2009,44,Grand Est,51,Marne,02E,Déblais et gravats,"22133,98"
2009,44,Grand Est,51,Marne,02Z,Autres déchets,"23,42"
2009,44,Grand Est,52,Haute-Marne,02A,Déchets dangereux,"321,71"
2009,44,Grand Est,52,Haute-Marne,02B,Matériaux recyclables,"2836,06"
2009,44,Grand Est,52,Haute-Marne,02C,Déchets verts,"8246,00"
2009,44,Grand Est,52,Haute-Marne,02D,Encombrants,"9690,30"
2009,44,Grand Est,52,Haute-Marne,02F,DEEE,"861,78"
2009,44,Grand Est,52,Haute-Marne,02E,Déblais et gravats,"7025,08"
2009,44,Grand Est,52,Haute-Marne,02Z,Autres déchets,"0,01"
2009,44,Grand Est,54,Meurthe-et-Moselle,02A,Déchets dangereux,"776,67"
2009,44,Grand Est,54,Meurthe-et-Moselle,02B,Matériaux recyclables,"20460,30"
2009,44,Grand Est,54,Meurthe-et-Moselle,02C,Déchets verts,"18435,72"
2009,44,Grand Est,54,Meurthe-et-Moselle,02D,Encombrants,"34744,82"
2009,44,Grand Est,54,Meurthe-et-Moselle,02F,DEEE,"3282,85"
2009,44,Grand Est,54,Meurthe-et-Moselle,02E,Déblais et gravats,"30727,65"
2009,44,Grand Est,54,Meurthe-et-Moselle,02Z,Autres déchets,"13,76"
2009,44,Grand Est,55,Meuse,02A,Déchets dangereux,"170,57"
2009,44,Grand Est,55,Meuse,02B,Matériaux recyclables,"2621,57"
2009,44,Grand Est,55,Meuse,02C,Déchets verts,"6042,29"
2009,44,Grand Est,55,Meuse,02D,Encombrants,"11329,79"
2009,44,Grand Est,55,Meuse,02F,DEEE,"586,75"
2009,44,Grand Est,55,Meuse,02E,Déblais et gravats,"4263,05"
2009,44,Grand Est,55,Meuse,02Z,Autres déchets,"204,95"
2009,44,Grand Est,57,Moselle,02A,Déchets dangereux,"2062,39"
2009,44,Grand Est,57,Moselle,02B,Matériaux recyclables,"30706,44"
2009,44,Grand Est,57,Moselle,02C,Déchets verts,"42742,81"
2009,44,Grand Est,57,Moselle,02D,Encombrants,"51241,09"
2009,44,Grand Est,57,Moselle,02F,DEEE,"3790,09"
2009,44,Grand Est,57,Moselle,02E,Déblais et gravats,"64745,13"
2009,44,Grand Est,57,Moselle,02Z,Autres déchets,"35,92"
2009,44,Grand Est,67,Bas-Rhin,02A,Déchets dangereux,"1036,92"
2009,44,Grand Est,67,Bas-Rhin,02B,Matériaux recyclables,"42458,63"
2009,44,Grand Est,67,Bas-Rhin,02C,Déchets verts,"41126,66"
2009,44,Grand Est,67,Bas-Rhin,02D,Encombrants,"48916,16"
2009,44,Grand Est,67,Bas-Rhin,02F,DEEE,"6266,84"
2009,44,Grand Est,67,Bas-Rhin,02E,Déblais et gravats,"50052,68"
2009,44,Grand Est,67,Bas-Rhin,02Z,Autres déchets,"78,57"
2009,44,Grand Est,68,Haut-Rhin,02A,Déchets dangereux,"997,11"
2009,44,Grand Est,68,Haut-Rhin,02B,Matériaux recyclables,"29200,70"
2009,44,Grand Est,68,Haut-Rhin,02C,Déchets verts,"28576,32"
2009,44,Grand Est,68,Haut-Rhin,02D,Encombrants,"35174,08"
2009,44,Grand Est,68,Haut-Rhin,02F,DEEE,"3654,05"
2009,44,Grand Est,68,Haut-Rhin,02E,Déblais et gravats,"42194,83"
2009,44,Grand Est,68,Haut-Rhin,02Z,Autres déchets,"68,70"
2009,44,Grand Est,88,Vosges,02A,Déchets dangereux,"486,76"
2009,44,Grand Est,88,Vosges,02B,Matériaux recyclables,"16641,30"
2009,44,Grand Est,88,Vosges,02C,Déchets verts,"17607,94"
2009,44,Grand Est,88,Vosges,02D,Encombrants,"16696,82"
2009,44,Grand Est,88,Vosges,02F,DEEE,"2199,68"
2009,44,Grand Est,88,Vosges,02E,Déblais et gravats,"13390,32"
2009,32,Hauts-de-France,02,Aisne,02A,Déchets dangereux,"548,93"
2009,32,Hauts-de-France,02,Aisne,02B,Matériaux recyclables,"10542,34"
2009,32,Hauts-de-France,02,Aisne,02C,Déchets verts,"24539,04"
2009,32,Hauts-de-France,02,Aisne,02D,Encombrants,"31592,73"
